term_id,source_term,id_ID,scope,status,note
R011-TERM-0035,placebo,plasebo,study design,admitted,
R011-TERM-0036,population,populasi,sampling,admitted,
R011-TERM-0037,target population,populasi sasaran,sampling,admitted,
R011-TERM-0038,sample,sampel,sampling,admitted,
R011-TERM-0039,sampling,pengambilan sampel,sampling,admitted,
R011-TERM-0040,anecdotal evidence,bukti anekdotal,evidence,admitted,
R011-TERM-0041,bias,bias,sampling,admitted,
R011-TERM-0042,simple random sample,sampel acak sederhana,sampling,admitted,
R011-TERM-0043,non-response rate,tingkat nonrespons,sampling,admitted,
R011-TERM-0044,non-response bias,bias nonrespons,sampling,admitted,
R011-TERM-0045,representative,representatif,sampling,admitted,
R011-TERM-0046,convenience sample,sampel kemudahan,sampling,admitted,
R011-TERM-0047,observational data,data observasional,study design,admitted,
R011-TERM-0048,confounding variable,variabel perancu,study design,admitted,
R011-TERM-0049,prospective study,studi prospektif,study design,admitted,
R011-TERM-0050,retrospective study,studi retrospektif,study design,admitted,
R011-TERM-0051,stratum,stratum,sampling,admitted,Use strata for the plural
R011-TERM-0052,stratified sampling,pengambilan sampel berstrata,sampling,admitted,
R011-TERM-0053,cluster,klaster,sampling,admitted,
R011-TERM-0054,cluster sample,sampel klaster,sampling,admitted,
R011-TERM-0055,cluster sampling,pengambilan sampel klaster,sampling,admitted,
R011-TERM-0056,multistage sample,sampel multitahap,sampling,admitted,
R011-TERM-0057,multistage sampling,pengambilan sampel multitahap,sampling,admitted,
R011-TERM-0058,sample statistic,statistik sampel,inference,admitted,
R011-TERM-0059,population parameter,parameter populasi,inference,admitted,
R011-TERM-0060,scope of inference,ruang lingkup inferensi,inference,admitted,
R011-TERM-0061,treatment,perlakuan,experimental design,admitted,
R011-TERM-0062,randomization,pengacakan,experimental design,admitted,
R011-TERM-0063,random assignment,alokasi acak,experimental design,admitted,
R011-TERM-0064,experimental unit,unit eksperimen,experimental design,admitted,
R011-TERM-0065,replication,replikasi,experimental design,admitted,Independent application of treatment conditions to multiple experimental units; distinguish from repeating an entire study
R011-TERM-0066,blocking,pemblokan,experimental design,admitted,
R011-TERM-0067,block,blok,experimental design,admitted,
R011-TERM-0068,blind,tersamar,experimental design,admitted,
R011-TERM-0069,double-blind,tersamar ganda,experimental design,admitted,
R011-TERM-0070,blinding,penyamaran,experimental design,admitted,
R011-TERM-0071,placebo effect,efek plasebo,experimental design,admitted,Do not imply that observed improvement proves placebo causation
R011-TERM-0072,factor,faktor,experimental design,admitted,
R011-TERM-0073,nonadherence,ketidakpatuhan,study conduct,admitted,
R011-TERM-0074,sham surgery,bedah semu,experimental design and research ethics,admitted,Use for a procedure that mimics surgery without delivering the full therapeutic intervention
R011-TERM-0075,clinical equipoise,ekuipoise klinis,research ethics,admitted,Genuine professional uncertainty about which study arm is preferable
R011-TERM-0076,scatterplot,diagram pencar,data visualization,admitted,
R011-TERM-0077,paired data,data berpasangan,data structure,admitted,
R011-TERM-0078,nonlinear,nonlinear,relationship,admitted,
R011-TERM-0079,dot plot,diagram titik,data visualization,admitted,
R011-TERM-0080,mean,rata-rata,descriptive statistics,admitted,
R011-TERM-0081,average,rerata,descriptive statistics synonym,admitted,Use only as a natural synonym after establishing rata-rata as the controlled term
R011-TERM-0082,distribution,distribusi,descriptive statistics,admitted,
R011-TERM-0083,sample mean,rata-rata sampel,descriptive statistics,admitted,
R011-TERM-0084,population mean,rata-rata populasi,descriptive statistics,admitted,
R011-TERM-0085,point estimate,estimasi titik,inference,admitted,
R011-TERM-0086,weighted mean,rata-rata tertimbang,descriptive statistics,admitted,
R011-TERM-0087,histogram,histogram,data visualization,admitted,
R011-TERM-0088,bin,kelas interval (bin),histogram,admitted,Use kelas interval in running prose and retain bin parenthetically at first definition
R011-TERM-0089,data density,kepadatan data,histogram,admitted,
R011-TERM-0090,tail,ekor,distribution shape,admitted,
R011-TERM-0091,right skewed,menceng kanan,distribution shape,admitted,
R011-TERM-0092,left skewed,menceng kiri,distribution shape,admitted,
R011-TERM-0093,symmetric,simetris,distribution shape,admitted,
R011-TERM-0094,mode,modus,distribution shape,admitted,
R011-TERM-0095,unimodal,unimodal,distribution shape,admitted,
R011-TERM-0096,bimodal,bimodal,distribution shape,admitted,
R011-TERM-0097,multimodal,multimodal,distribution shape,admitted,
R011-TERM-0098,variability,variabilitas,descriptive statistics,admitted,
R011-TERM-0099,variance,varians,descriptive statistics,admitted,
R011-TERM-0100,standard deviation,simpangan baku,descriptive statistics,admitted,
R011-TERM-0101,deviation,simpangan,descriptive statistics,admitted,
R011-TERM-0102,box plot,diagram kotak,data visualization,admitted,
R011-TERM-0103,median,median,descriptive statistics,admitted,
R011-TERM-0104,interquartile range,rentang antarkuartil,descriptive statistics,admitted,Retain IQR as the source abbreviation
R011-TERM-0105,IQR,IQR,descriptive statistics abbreviation,admitted,Abbreviation of rentang antarkuartil
R011-TERM-0106,quartile,kuartil,descriptive statistics,admitted,
R011-TERM-0107,percentile,persentil,descriptive statistics,admitted,
R011-TERM-0108,first quartile,kuartil pertama,descriptive statistics,admitted,
R011-TERM-0109,third quartile,kuartil ketiga,descriptive statistics,admitted,
R011-TERM-0110,whisker,garis kumis,box plot,admitted,Retain whisker parenthetically at first definition
R011-TERM-0111,outlier,pencilan,descriptive statistics,admitted,
R011-TERM-0112,robust statistic,statistik robust,descriptive statistics,admitted,
R011-TERM-0113,transformation,transformasi,data transformation,admitted,
R011-TERM-0114,logarithm,logaritma,data transformation,admitted,
R011-TERM-0115,intensity map,peta intensitas,data visualization,admitted,
R011-TERM-0116,skew,kemencengan,distribution shape,admitted,
R011-TERM-0117,total income,total pendapatan,loan data and figure label,proposed,Use the same wording in alternative text and localized axes
R011-TERM-0118,loan amount,jumlah pinjaman,loan data and figure label,proposed,Use the same wording in alternative text and localized axes
R011-TERM-0119,poverty rate,tingkat kemiskinan,county data and figure label,proposed,Use the same wording in alternative text and localized axes
R011-TERM-0120,median household income,median pendapatan rumah tangga,county data and figure label,proposed,Use the same wording in alternative text and localized axes
R011-TERM-0121,interest rate,suku bunga,loan data and figure label,proposed,Use the same wording in alternative text and localized axes
