asset_id	role	source_path	bytes	sha256	producer_path	license_or_rights	publication_disposition	use_in_boundary
diceSumDist	main-section-Figure-diceSumDist	repo/ch_probability/figures/diceSumDist/diceSumDist.pdf	4482	76ef9ac01c4865463e04ddf0e95568cc911d333e29b4e917ce72b8877d4eb48a	repo/ch_probability/figures/diceSumDist/diceSumDist.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness	main prefix Figure diceSumDist
diceSumDist-R	adjacent-R-producer	repo/ch_probability/figures/diceSumDist/diceSumDist.R	1385	94754a137c2708c52c6c0ea2c27e390b86d827bf505646e2b152a04a0734ed61		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer; exclude .Rhistory	main prefix Figure diceSumDist
complementOfD	main-section-Figure-complementOfD	repo/ch_probability/figures/complementOfD/complementOfD.pdf	5369	4da53190e9771de3a86c21943e64ce514d9e39471b54a015be4baba490af68f7	repo/ch_probability/figures/complementOfD/complementOfD.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness	main prefix Figure complementOfD
complementOfD-R	adjacent-R-producer	repo/ch_probability/figures/complementOfD/complementOfD.R	1762	591b574478ee25ca3810622dbd3bac22c11fb03a0e74a3139aa6f9a37790afba		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer; exclude .Rhistory	main prefix Figure complementOfD
indepForRollingTwo1s	main-section-Figure-indepForRollingTwo1s	repo/ch_probability/figures/indepForRollingTwo1s/indepForRollingTwo1s.pdf	4506	aae97a030da72e528ce4156469c27911e1db939a0829b80bffe8a297631953d5	repo/ch_probability/figures/indepForRollingTwo1s/indepForRollingTwo1s.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness	main prefix Figure indepForRollingTwo1s
indepForRollingTwo1s-R	adjacent-R-producer	repo/ch_probability/figures/indepForRollingTwo1s/indepForRollingTwo1s.R	819	bcd5dffb69b31ff3ecc8a47ca0a1a12cceefcc44e4aea3bb7267d6131248f388		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer	main prefix Figure indepForRollingTwo1s
roulette_wheel	EoCE-2-direct-photo	repo/ch_probability/figures/eoce/roulette_wheel/roulette_wheel.jpg	352602	f11b51be0f3fb520238f1c299f3692a671fe9b3a8db65d20a4a74b820cf0c472		CC-BY-2.0; Photo by Håkan Dahlström; Flickr link and license credit in source caption	include only with visible creator, source URL, and CC BY 2.0 credit	defining_probability.tex EoCE exercise 2
swing_voters	EoCE-7-public-answer-figure	repo/ch_probability/figures/eoce/swing_voters/swing_voters.pdf	19688	fd2e8dd9131b3b2bd08654d53a1ed7e984edab8bfd30d4944f0c9d32d8472da2	repo/ch_probability/figures/eoce/swing_voters/swing_voters.R	CC-BY-SA-3.0 repository generated figure; OpenIntro R package GPL-3 build dependency	retain source witness and localize labels only if target PDF is made	Probability public answer 7
swing_voters-R	adjacent-R-producer	repo/ch_probability/figures/eoce/swing_voters/swing_voters.R	659	0f5bc113d8e56354a0ebfede41b5d154e6571713b677abbb096b2ac83160df06		OpenIntro R package GPL-3 build dependency; producer under repository declaration	retain exact producer; no Rscript replay claim	Probability public answer 7
swing_voters-tiff	adjacent-alternate-output	repo/ch_probability/figures/eoce/swing_voters/swing_voters.tiff	923822	3665c78e093357d7b7d475f66abf6b54112327da2baace089f03282b0ad8e5eb		exact source-generated alternate output; same repository declaration	retain as source closure, not directly loaded by PDF	adjacent to public answer 7
