scope,role,disposition,path,bytes,sha256,line_start_inclusive,line_end_inclusive,license,notes
authority,predecessor cross-reference source: eye_color_geometric,retain; already belongs to B015,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/TeX/geometric_distribution.tex,3658,3835748279ccb79db81952e9be9fdae4d2ddb677da57f885cbe781af74b4e448,33,33,CC BY-SA 3.0 Unported,Defines \label{eye_color_geometric} at authority line 33.
control,component-rights control,read-only; do not mutate in source closure,00_control/COMPONENT_RIGHTS.csv,9999,009feba8ff1f329ef742793f55f6b090dd08f3f761f9b9cc1edcbe03ecff58f0,,,mixed component rights,"Relevant existing rows: R011-RIGHTS-TEXT, -DERIVATIVE, -BRAND, and -RPKG."
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_MAIN_AUTHORITY_LINES_1268-1926.tex,24451,530585267669f06c551b86dce8345147f3654d716e851c9be5d76facff47b8e5,1268,1926,same license as source component,Byte-exact authority lines 1268-1926 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/TeX/ch_distributions.tex.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_EOCE_17-26_AUTHORITY.tex,8716,ac032b8749237e2fc3911cb1d007d5555a86d47ecba9ea9937e8f502f50348ff,1,211,same license as source component,Byte-exact authority lines 1-211 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/TeX/binomial_distribution.tex.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_PUBLIC_ODD_ANSWERS_AUTHORITY_LINES_707-748.tex,1412,17f8ab6e9a1a9c62bbf1d2bf09567bd66df0f3c8103db5c0fe41cae4ebef5e72,707,748,same license as source component,Byte-exact authority lines 707-748 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/extraTeX/eoceSolutions/eoceSolutions.tex.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_DATA_APPENDIX_AUTHORITY_LINES_277-294.tex,841,92e13799051af370ea6f5314be4b62c14711322c8d113b64ca93c3a0c44b4ff9,277,294,same license as source component,Byte-exact authority lines 277-294 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/extraTeX/data/data.tex.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_PREBOUNDARY_MACROS_AUTHORITY_LINES_979-982.tex,126,b161752de6bf8f931db640c5ec18d2b017c73c36ae8fd4463b20bfe6f57aa96e,979,982,same license as source component,Byte-exact authority lines 979-982 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/TeX/ch_distributions.tex.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_BIB_WEBPAGE_ALCOHOL_LINES_386-388.bib,165,98ab7a0c882b6b94239f89851dd99f0d007fc3b4ade54fda928d9f9aa34c6844,386,388,same license as source component,Byte-exact authority lines 386-388 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/eoce.bib.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_BIB_WEBPAGE_SPIDERS_LINES_425-427.bib,144,1ec7db85b6218ec6fd9f4d1c0e50cee72cf3fbf0655152203de976813818a850,425,427,same license as source component,Byte-exact authority lines 425-427 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/eoce.bib.
frozen witness,byte-exact bounded authority witness,retain for B016 translation and reproducibility,qa/b016-source/R011-B016_BIB_BOSTON_CHICKENPOX_LINES_833-835.bib,199,f43639e1599c8fcd2eba2c9bdb37030cbb873201a12f665e794a55487106bfef,833,835,same license as source component,Byte-exact authority lines 833-835 from authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/eoce.bib.
contract,O001 even-exercise gap contract,retain; populate independently during translation,qa/b016-source/R011-B016_O001_GAP_CONTRACT.json,749,4cc986cfb9e06e3ec92868b3ec4588fbf95dbd5f91cf3d0db537abb7cf93c534,,,new companion work to be released compatibly with the edition,No restricted solution content is present.
