component_id,path_or_scope,role,license_or_status,attribution,publication_disposition,evidence
R011-RIGHTS-COUNTY-COMPLETE,county_complete data used by county_income_education_scatterplot.pdf,data and extraction closure,GPL-3 packaged material; underlying U.S. federal factual data public domain,OpenIntro package authors; U.S. Census Bureau; USDA Economic Research Service; Bureau of Labor Statistics,include derived static plot with source attribution,openintro archive e8b9526364e70ca59d945fc83eadfd1d25eb784e3190429637f96bfe72b6dc99 DESCRIPTION and man/county_complete.Rd
R011-RIGHTS-IRIS,ch_intro_to_data/figures/eoce/fisher_irises/irisversicolor.jpg,photograph,CC BY-SA 2.0,Ryan Claussen with source and direct license link,include with attribution,data_basics.tex source credit and license declaration
R011-RIGHTS-AIRPORT-CENSUS,ch_intro_to_data/figures/eoce/airports/data/cb_2013_us_state_20m,cartographic boundary data,U.S. Census Bureau data with mandatory acknowledgment,U.S. Census Bureau,include only with visible acknowledgment,cb_2013_us_state_20m.shp.xml SHA-256 0d680d3bcfef870dc601f7db25acd8bd1669f4900fdbceee17f8dcd344ed9534
R011-RIGHTS-UNVOTES-INPUT,unvotes R package version 0.2.0 and cited UN-vote dataset,data dependency,MIT package; cited upstream dataset is CC0 1.0,David Robinson package citation retained,authority archive retained for deterministic extraction; localized static plot included,authority/external/r-packages/unvotes-0.2.0/EXTRACT_MANIFEST.json and archive SHA-256 2ce21f837837494e0a9fe25aa240b6d26a358f78576d819bc2d586ca77dc5671
R011-RIGHTS-MNWINTER,ch_intro_to_data/figures/mnWinter/mnWinter.JPG,photograph,CC BY-SA 3.0 Unported,David M. Diez,include only with visible creator and license credit,ch_intro_to_data/figures/mnWinter/ReadMe.txt states creator and same license as textbook
R011-RIGHTS-B003-GENERATED,"ch_intro_to_data/figures/popToSample/*.pdf; ch_intro_to_data/figures/variables/sunCausesCancer.pdf; ch_intro_to_data/figures/samplingMethodsFigure/simple_stratified.pdf; ch_intro_to_data/figures/samplingMethodsFigure/cluster_multistage.pdf; ch_intro_to_data/figures/eoce/internet_life_expectancy/internet_life_expectancy.pdf",seven generated figures,CC BY-SA 3.0 Unported for repository-authored figures; OpenIntro R package is a separately governed GPL-3 build dependency,OpenIntro Statistics source authors plus derivative change notice,include localized deterministic outputs and retain exact producer closure,"LICENSE.md; adjacent R producers; R011-RIGHTS-RPKG"
R011-RIGHTS-CIA-FACTBOOK,ch_intro_to_data/figures/eoce/internet_life_expectancy/factbook.rda,factual data input,public domain unless a copyright notice is indicated,Central Intelligence Agency World Factbook 2014,include derived plot with source citation and without CIA seal or endorsement,"https://www.cia.gov/site-policies/; eoce.bib#data:ciaFactbook; local data hash in B003 asset manifest"
R011-RIGHTS-HEPLER-QUOTE,ch_intro_to_data/TeX/sampling_principles_and_strategies.tex#scope_haters,third-party quoted expression,APA-published article expression not licensed under textbook CC BY-SA,"Justin Hepler and Dolores Albarracín; Journal of Personality and Social Psychology 104(6) (2013)",exclude translated quotation; include an independently worded factual summary with citation,"https://www.apa.org/about/contact/copyright/; eoce.bib#Hepler:2013"
R011-RIGHTS-NYT-EXCERPTS,ch_intro_to_data/TeX/sampling_principles_and_strategies.tex#reading_paper,two third-party news excerpts,copyrighted news expression with no redistribution license established,"Roni Caryn Rabin (2010); Tara Parker-Pope (2011); The New York Times",exclude verbatim and translated excerpts; include independently worded factual study summaries with article citations,"https://www.copyright.gov/what-is-copyright/; https://www.copyright.gov/fair-use/more-info.html; eoce.bib#news:smokingDementia and #news:bullySleep"
R011-RIGHTS-JON-STEWART-QUOTE,ch_intro_to_data/TeX/ch_intro_to_data.tex#mnWinter,third-party short quotation,no affirmative redistribution license established,Jon Stewart attribution retained,exclude direct translated expression; include a concise independent paraphrase,"source caption; https://www.copyright.gov/fair-use/more-info.html"
R011-RIGHTS-B004-GENERATED,"ch_intro_to_data/figures/figureShowingBlocking/figureShowingBlocking.R; ch_intro_to_data/figures/figureShowingBlocking/figureShowingBlocking.pdf; ch_intro_to_data/figures/figureShowingBlocking/replay_figureShowingBlocking_b004.py",synthetic generated figure and source-equivalence replay,CC BY-SA 3.0 Unported for repository-authored producer/figure/derivative replay; frozen OpenIntro helper concepts remain separately GPL-3,OpenIntro Statistics source authors plus derivative change notice,include localized deterministic vector output and retain exact producer/replay closure,ch_intro_to_data/figures/figureShowingBlocking/R011-B004_FIGURE_REPLAY.json
R011-RIGHTS-B004-MARKS,ch_intro_to_data/TeX/experiments.tex#soda_preference,nominative product-name references,trademark names used descriptively without logo or endorsement,Coke and Diet Coke names retained only to identify the compared beverages,include text-only nominative references,source exercise contains the names and no brand artwork
R011-RIGHTS-B006-GENERATED,"ch_summarizing_data/figures/loan_homeownership_bar_plot/*; ch_summarizing_data/figures/loan_app_type_home_seg_bar/*; ch_summarizing_data/figures/loan_app_type_home_mosaic_plot/*; ch_summarizing_data/figures/loan_homeownership_pie_chart/*; ch_summarizing_data/figures/countyIncomeSplitByPopGain/*; ch_summarizing_data/figures/eoce/antibiotic_use_children/*; ch_summarizing_data/figures/eoce/dream_act_mosaic/*; ch_summarizing_data/figures/eoce/raise_taxes_mosaic/*; scripts/localize_b006_figures.py",13 repository-authored generated figures plus eight adjacent R producers and frozen English source witnesses,CC BY-SA 3.0 Unported for repository-authored producer/figure expression and the Indonesian derivative overlay; OpenIntro R package code/data remain a separately governed GPL-3 dependency,OpenIntro Statistics source authors plus Indonesian derivative change notice,include localized deterministic vector PDFs and retain exact English source witnesses and producer/replay closure,"LICENSE.md; R011-RIGHTS-RPKG; R011-RIGHTS-B006-DATA; qa/b006-assets/ASSET_MANIFEST_R011-B006.json; qa/b006-assets/ASSET_VALIDATION_RECEIPT_R011-B006.json"
R011-RIGHTS-B006-DATA,"OpenIntro loans_full_schema and county inputs; inline aggregate condition counts in antibiotic_use_children.R; SurveyUSA News Poll 18927 aggregates; Public Policy Polling February 2015 aggregates",factual data and build-input closure,"OpenIntro packaged material is governed by the separately recorded GPL-3 dependency; underlying U.S. government county facts and noncreative aggregate counts are factual data; no third-party article or poll-report expression is copied",OpenIntro package authors; relevant U.S. public agencies; Pranita D. Tamma et al.; SurveyUSA; Public Policy Polling,include only derived aggregate plot geometry with source citations where supplied; do not bundle third-party report/article expression,"R011-RIGHTS-RPKG; R011-RIGHTS-COUNTY-COMPLETE; adjacent R producers; eoce.bib#survey:immigFL:2012; eoce.bib#survey:raiseTaxes:2015; Tamma et al. 2011 DOI 10.1093/cid/cir203"
